期权种类,期权参数,期权价格,期权误差,95%误差上界,95%误差下界,运行时间(s)
,,10.4502,0.201684,10.0549 , 10.8455, 0.000161,
,,5.50296,0.14799,5.2129 , 5.79302, 0.000114,
,,5.95335,0.131701,5.69521 , 6.21148, 0.000295,
,,3.1629,0.076384,3.01319 , 3.31261, 0.000236,
,,5.60187,0.119952,5.36677 , 5.83698, 0.000234,
,,3.40506,0.0839721,3.24047 , 3.56964, 0.000231,
,,16.6547,0.22283,16.2179 , 17.0914, 0.00026,
,,13.4579,0.15323,13.1576 , 13.7583, 0.000242,
,,18.4452,0.234013,17.9865 , 18.9039, 0.000246,
,,11.6674,0.139763,11.3935 , 11.9413, 0.000241,
,,2.46134,0.0365456,2.38972 , 2.53297, 0.000378,
,,0.162252,0.00755491,0.147444 , 0.17706, 0.000386,
,,1.10264,0.0244921,1.05463 , 1.15064, 0.000387,
,,1.52096,0.037619,1.44722 , 1.59469, 0.000384,
,,10.1597,0.0992203,9.96519 , 10.3541, 0.000218,
,,5.48397,0.0735346,5.33984 , 5.6281, 0.000163,
,,6.06441,0.0666383,5.9338 , 6.19503, 0.00037,
,,3.20136,0.0391557,3.12462 , 3.27811, 0.0003,
,,5.55237,0.0607802,5.43324 , 5.67149, 0.000302,
,,3.48819,0.0419301,3.406 , 3.57037, 0.000297,
,,16.7092,0.112841,16.4881 , 16.9304, 0.000333,
,,13.3931,0.0767782,13.2426 , 13.5436, 0.00031,
,,18.3204,0.118814,18.0875 , 18.5532, 0.000316,
,,11.782,0.0699722,11.6449 , 11.9192, 0.000308,
,,2.44999,0.0184302,2.41387 , 2.48612, 0.000446,
,,0.170052,0.00389025,0.162428 , 0.177677, 0.000443,
,,1.12705,0.0124233,1.1027 , 1.1514, 0.000437,
,,1.493,0.0188321,1.45609 , 1.52991, 0.000445,
,,10.1786,0.0495521,10.0815 , 10.2757, 0.000471,
,,5.44515,0.0368242,5.37298 , 5.51733, 0.000341,
,,5.97462,0.0331647,5.90962 , 6.03962, 0.000713,
,,3.25526,0.0197565,3.21653 , 3.29398, 0.00065,
,,5.53968,0.0304614,5.47997 , 5.59938, 0.000642,
,,3.48592,0.0209474,3.44487 , 3.52698, 0.000645,
,,16.568,0.056323,16.4576 , 16.6784, 0.00067,
,,13.5263,0.0385451,13.4508 , 13.6019, 0.000666,
,,18.2983,0.0594378,18.1818 , 18.4148, 0.000674,
,,11.796,0.0350078,11.7274 , 11.8646, 0.000667,
,,2.43562,0.00918381,2.41762 , 2.45362, 0.000789,
,,0.167931,0.00192941,0.164149 , 0.171712, 0.000803,
,,1.12039,0.00615977,1.10832 , 1.13246, 0.000788,
,,1.48316,0.00939471,1.46475 , 1.50157, 0.000796,
,,10.1726,0.02478,10.124 , 10.2211, 0.001646,
,,5.46317,0.0184951,5.42692 , 5.49942, 0.001043,
,,6.02126,0.0167746,5.98838 , 6.05413, 0.002234,
,,3.23504,0.00983797,3.21576 , 3.25432, 0.002197,
,,5.5667,0.0153327,5.53665 , 5.59675, 0.00218,
,,3.47735,0.0104791,3.45682 , 3.49789, 0.0022,
,,16.6853,0.0284491,16.6295 , 16.741, 0.002299,
,,13.502,0.0192757,13.4642 , 13.5397, 0.002259,
,,18.3488,0.02999,18.29 , 18.4076, 0.002277,
,,11.7895,0.0175053,11.7552 , 11.8238, 0.00225,
,,2.44552,0.00462111,2.43647 , 2.45458, 0.002779,
,,0.169012,0.000966278,0.167118 , 0.170906, 0.002816,
,,1.1253,0.00310553,1.11921 , 1.13139, 0.002838,
,,1.48848,0.0047235,1.47922 , 1.49774, 0.002955,
,,10.2021,0.0124021,10.1778 , 10.2264, 0.005708,
,,5.44466,0.00923213,5.42656 , 5.46275, 0.004062,
,,6.00918,0.00836554,5.99278 , 6.02557, 0.008479,
,,3.26287,0.00493155,3.2532 , 3.27253, 0.008422,
,,5.55875,0.00765905,5.54374 , 5.57376, 0.008443,
,,3.47899,0.00523855,3.46873 , 3.48926, 0.008913,
,,16.5927,0.0141746,16.5649 , 16.6205, 0.009423,
,,13.5179,0.00964653,13.499 , 13.5368, 0.009698,
,,18.3477,0.0149637,18.3184 , 18.377, 0.009573,
,,11.7683,0.00875438,11.7511 , 11.7855, 0.009763,
,,2.44987,0.00231202,2.44533 , 2.4544, 0.011814,
,,0.167454,0.000481365,0.166511 , 0.168398, 0.011684,
,,1.12456,0.00154923,1.12153 , 1.1276, 0.011823,
,,1.49001,0.0023607,1.48538 , 1.49463, 0.012633,
,,10.2148,0.00619463,10.2026 , 10.2269, 0.026204,
,,5.45055,0.00461994,5.4415 , 5.45961, 0.025613,
,,6.02433,0.00419609,6.0161 , 6.03255, 0.042804,
,,3.25375,0.00246313,3.24893 , 3.25858, 0.04269,
,,5.57171,0.00383518,5.56419 , 5.57922, 0.042658,
,,3.48141,0.00261605,3.47629 , 3.48654, 0.042618,
,,16.635,0.00710377,16.6211 , 16.6489, 0.043784,
,,13.5285,0.00482482,13.519 , 13.5379, 0.043826,
,,18.3795,0.00748835,18.3648 , 18.3942, 0.04323,
,,11.7769,0.00437588,11.7683 , 11.7854, 0.042973,
,,2.448,0.00115578,2.44573 , 2.45027, 0.049227,
,,0.168705,0.000241857,0.168231 , 0.169179, 0.049425,
,,1.12481,0.000775562,1.12329 , 1.12633, 0.0486,
,,1.49019,0.00117998,1.48788 , 1.4925, 0.048941,
,,
